"x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","burst","idcollar","dop","FixType","rel.deg","flag","b.screen","speed_kmh"
520149.936693316,290377.18333726,2017-05-13 04:01:50,49.9770278157084,-28.7939777057618,57.6783881658633,14367,34565.3579155951,-0.52269379632536,1.4923381249739,5700,5700,24219,5.2,"val. GPS-3D",85.5046761674711,"no_flag","no_flag",0.0238598151828798
520199.913721131,290348.38935956,2017-05-13 08:01:17,169.920493376441,-13.818631099537,170.481461264145,14375,57686.3215292587,-0.0811455255766741,0.441548270748686,5700,5700,24219,2.4,"val. GPS-3D",25.2988523651995,"no_flag","no_flag",0.0144527178532128
520369.834214508,290334.57072846,2017-05-13 12:00:52,-49.977246868948,16.0108813587576,52.4792675871528,14394,146997.221148134,2.8315600879988,2.91270561357547,5700,5700,24219,4,"val. GPS-3D",166.885738621937,"no_flag","no_flag",0.042694487690499
520319.856967639,290350.58160982,2017-05-13 16:00:46,-296.863250593829,89.4099894287065,310.0353782438,14445,110388.231241283,2.84905143209114,0.0174913440923401,5700,5700,24219,4.8,"val. GPS-3D",1.00218019450217,"no_flag","no_flag",0.0131252857658573
520022.993717045,290439.99159924,2017-05-13 20:01:31,100.952958981798,-20.2100109439343,102.956031729736,14366,7397.72914653273,-0.197580512986078,-3.04663194507722,5700,5700,24219,1.2,"val. GPS-3D",-174.559152182657,"no_flag","no_flag",0.0772673839859938
520123.946676027,290419.7815883,2017-05-14 00:00:57,-38.9878802369349,15.1022014655173,41.8106600578686,14410,18603.0082666921,2.77203330075238,2.96961381373846,5700,5700,24219,1.8,"val. GPS-3D",170.146338310962,"no_flag","no_flag",0.0257999244206495
520084.95879579,290434.88378977,2017-05-14 04:01:07,176.924828770221,19.9379672259092,178.044706667942,14376,10396.5117856714,0.112218304368966,-2.65981499638341,5700,5700,24219,2.2,"val. GPS-3D",-152.396173578374,"no_flag","no_flag",0.01044541125665
520261.88362456,290454.82175699,2017-05-14 08:00:43,107.950718683191,-122.627497863024,163.373378787254,14401,55484.2712690309,-0.848964470911101,-0.961182775280067,5700,5700,24219,2,"val. GPS-3D",-55.0717163642193,"no_flag","no_flag",0.0445854858100022
520369.834343243,290332.19425913,2017-05-14 12:00:44,-35.9775506369187,186.317810771056,189.759613090749,14400,147907.36899357,1.7615463876164,2.6105108585275,5700,5700,24219,9,"val. GPS-3D",149.571254566699,"no_flag","no_flag",0.0408405085503863
520333.856792606,290518.5120699,2017-05-14 16:00:44,-104.958551991382,-165.291126311757,195.799525212746,14458,88173.2070733403,-2.13654869465168,2.3850902249115,5700,5700,24219,3.4,"val. GPS-3D",136.655603645337,"no_flag","no_flag",0.0474399032726873
